"survey_id","site","date","avg_depth_m","time_24hr","transect_m","visibility_m","weather","current","local_boats","researcher","site_code","area_m2","area_ha","family","fish_count","fish_density_ha","trophic_group","taxon_family","genus","species_epithet","sci_name"
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Emma","AL",1000,0.1,"Butterflyfish",19,190,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Emma","AL",1000,0.1,"Parrotfish",5,50,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Emma","AL",1000,0.1,"Rabbitfish",24,240,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Niamh","AL",1000,0.1,"Butterflyfish",14,140,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Niamh","AL",1000,0.1,"Parrotfish",4,40,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Niamh","AL",1000,0.1,"Rabbitfish",21,210,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Tessa","AL",1000,0.1,"Butterflyfish",14,140,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Tessa","AL",1000,0.1,"Parrotfish",9,90,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Tessa","AL",1000,0.1,"Rabbitfish",29,290,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"Emma","AL",1000,0.1,"Butterflyfish",31,310,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"Emma","AL",1000,0.1,"Parrotfish",27,270,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"Emma","AL",1000,0.1,"Rabbitfish",25,250,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"James","AL",1000,0.1,"Butterflyfish",33,330,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"James","AL",1000,0.1,"Parrotfish",23,230,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"James","AL",1000,0.1,"Rabbitfish",27,270,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Caitlyn","AL",1000,0.1,"Butterflyfish",5,50,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Caitlyn","AL",1000,0.1,"Parrotfish",136,1360,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Caitlyn","AL",1000,0.1,"Rabbitfish",17,170,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Cassidy","AL",1000,0.1,"Butterflyfish",19,190,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Cassidy","AL",1000,0.1,"Parrotfish",8,80,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Cassidy","AL",1000,0.1,"Rabbitfish",22,220,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Hanwei","AL",1000,0.1,"Butterflyfish",5,50,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Hanwei","AL",1000,0.1,"Parrotfish",29,290,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:05",100,14,2,"None",8,"Hanwei","AL",1000,0.1,"Rabbitfish",14,140,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-04,9,"3:03",100,12,2,"None",12,"Iola","AL",1000,0.1,"Butterflyfish",15,150,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-04,9,"3:03",100,12,2,"None",12,"Iola","AL",1000,0.1,"Parrotfish",18,180,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-04,9,"3:03",100,12,2,"None",12,"Iola","AL",1000,0.1,"Rabbitfish",40,400,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-04,9,"3:03",100,12,2,"None",12,"Maddy","AL",1000,0.1,"Butterflyfish",13,130,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-04,9,"3:03",100,12,2,"None",12,"Maddy","AL",1000,0.1,"Parrotfish",10,100,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-04,9,"3:03",100,12,2,"None",12,"Maddy","AL",1000,0.1,"Rabbitfish",29,290,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:06",100,13,2,"None",8,"Maia","AL",1000,0.1,"Butterflyfish",24,240,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:06",100,13,2,"None",8,"Maia","AL",1000,0.1,"Parrotfish",172,1720,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-04,8.5,"13:06",100,13,2,"None",8,"Maia","AL",1000,0.1,"Rabbitfish",15,150,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2508","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Cassidy","AL",1000,0.1,"Butterflyfish",28,280,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2508","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Cassidy","AL",1000,0.1,"Parrotfish",26,260,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2508","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Cassidy","AL",1000,0.1,"Rabbitfish",61,610,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2508","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Maia","AL",1000,0.1,"Butterflyfish",29,290,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2508","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Maia","AL",1000,0.1,"Parrotfish",23,230,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2508","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Maia","AL",1000,0.1,"Rabbitfish",64,640,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Cassidy","AL",1000,0.1,"Butterflyfish",28,280,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Cassidy","AL",1000,0.1,"Parrotfish",26,260,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Cassidy","AL",1000,0.1,"Rabbitfish",61,610,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Maia","AL",1000,0.1,"Butterflyfish",29,290,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Maia","AL",1000,0.1,"Parrotfish",23,230,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-08-07,8,"13:07",100,15,3,"None",14,"Maia","AL",1000,0.1,"Rabbitfish",64,640,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2510","Aow Leuk",2025-09-29,10.2,"13:19",100,15,3,"None",11,"Jake","AL",1000,0.1,"Butterflyfish",24,240,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2510","Aow Leuk",2025-09-29,10.2,"13:19",100,15,3,"None",11,"Jake","AL",1000,0.1,"Parrotfish",13,130,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2510","Aow Leuk",2025-09-29,10.2,"13:19",100,15,3,"None",11,"Jake","AL",1000,0.1,"Rabbitfish",35,350,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2510","Aow Leuk",2025-09-29,10.2,"13:19",100,15,3,"None",11,"Thomas","AL",1000,0.1,"Butterflyfish",20,200,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2510","Aow Leuk",2025-09-29,10.2,"13:19",100,15,3,"None",11,"Thomas","AL",1000,0.1,"Parrotfish",10,100,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2510","Aow Leuk",2025-09-29,10.2,"13:19",100,15,3,"None",11,"Thomas","AL",1000,0.1,"Rabbitfish",14,140,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-10-22,10,"15:12",12,12,4,"None",7,"Jake","AL",1000,0.1,"Butterflyfish",24,240,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-10-22,10,"15:12",12,12,4,"None",7,"Jake","AL",1000,0.1,"Parrotfish",24,240,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-10-22,10,"15:12",12,12,4,"None",7,"Jake","AL",1000,0.1,"Rabbitfish",22,220,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-10-22,7.5,"15:12",12,12,4,"None",7,"Mathys","AL",1000,0.1,"Butterflyfish",14,140,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-10-22,7.5,"15:12",12,12,4,"None",7,"Mathys","AL",1000,0.1,"Parrotfish",13,130,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-10-22,7.5,"15:12",12,12,4,"None",7,"Mathys","AL",1000,0.1,"Rabbitfish",25,250,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-10-22,7.5,"15:12",12,12,4,"None",7,"SK","AL",1000,0.1,"Butterflyfish",13,130,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-10-22,7.5,"15:12",12,12,4,"None",7,"SK","AL",1000,0.1,"Parrotfish",16,160,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-10-22,7.5,"15:12",12,12,4,"None",7,"SK","AL",1000,0.1,"Rabbitfish",18,180,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"EXTRA","Aow Leuk",2025-10-22,10,"15:12",12,12,4,"None",7,"Tom","AL",1000,0.1,"Butterflyfish",14,140,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"EXTRA","Aow Leuk",2025-10-22,10,"15:12",12,12,4,"None",7,"Tom","AL",1000,0.1,"Parrotfish",19,190,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"EXTRA","Aow Leuk",2025-10-22,10,"15:12",12,12,4,"None",7,"Tom","AL",1000,0.1,"Rabbitfish",20,200,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2602","Aow Leuk",2026-02-02,9.8,"14:15",100,7,3,"None",1,"Callum","AL",1000,0.1,"Butterflyfish",7,70,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2602","Aow Leuk",2026-02-02,9.8,"14:15",100,7,3,"None",1,"Callum","AL",1000,0.1,"Parrotfish",7,70,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2602","Aow Leuk",2026-02-02,9.8,"14:15",100,7,3,"None",1,"Callum","AL",1000,0.1,"Rabbitfish",20,200,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2602","Aow Leuk",2026-02-02,10,"14:15",100,7,3,"None",1,"Elena","AL",1000,0.1,"Butterflyfish",17,170,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2602","Aow Leuk",2026-02-02,10,"14:15",100,7,3,"None",1,"Elena","AL",1000,0.1,"Parrotfish",13,130,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2602","Aow Leuk",2026-02-02,10,"14:15",100,7,3,"None",1,"Elena","AL",1000,0.1,"Rabbitfish",31,310,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2604","Aow Leuk",2026-04-06,9,"13:07",100,7,2,"None",3,"Kim","AL",1000,0.1,"Butterflyfish",16,160,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2604","Aow Leuk",2026-04-06,9,"13:07",100,7,2,"None",3,"Kim","AL",1000,0.1,"Parrotfish",17,170,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2604","Aow Leuk",2026-04-06,9,"13:07",100,7,2,"None",3,"Kim","AL",1000,0.1,"Rabbitfish",22,220,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2604","Aow Leuk",2026-04-06,9,"13:07",100,7,2,"None",3,"Lucy W","AL",1000,0.1,"Butterflyfish",25,250,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2604","Aow Leuk",2026-04-06,9,"13:07",100,7,2,"None",3,"Lucy W","AL",1000,0.1,"Parrotfish",5,50,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2604","Aow Leuk",2026-04-06,9,"13:07",100,7,2,"None",3,"Lucy W","AL",1000,0.1,"Rabbitfish",23,230,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2606","Aow Leuk",2026-06-01,10,"13:31",100,3,3,"None",1,"Cam","AL",1000,0.1,"Butterflyfish",5,50,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2606","Aow Leuk",2026-06-01,10,"13:31",100,3,3,"None",1,"Cam","AL",1000,0.1,"Parrotfish",3,30,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2606","Aow Leuk",2026-06-01,10,"13:31",100,3,3,"None",1,"Cam","AL",1000,0.1,"Rabbitfish",7,70,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2606","Aow Leuk",2026-06-01,10,"13:31",100,3,3,"None",1,"Kenzie","AL",1000,0.1,"Butterflyfish",4,40,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2606","Aow Leuk",2026-06-01,10,"13:31",100,3,3,"None",1,"Kenzie","AL",1000,0.1,"Parrotfish",2,20,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2606","Aow Leuk",2026-06-01,10,"13:31",100,3,3,"None",1,"Kenzie","AL",1000,0.1,"Rabbitfish",5,50,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2504","Green Rock Wall",2025-04-01,8.1,"7:30",100,12,3,"None",2,"Niamh","GR",1000,0.1,"Butterflyfish",31,310,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2504","Green Rock Wall",2025-04-01,8.1,"7:30",100,12,3,"None",2,"Niamh","GR",1000,0.1,"Parrotfish",19,190,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2504","Green Rock Wall",2025-04-01,8.1,"7:30",100,12,3,"None",2,"Niamh","GR",1000,0.1,"Rabbitfish",36,360,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2504","Green Rock Wall",2025-04-01,8.1,"7:30",100,12,3,"None",2,"Tessa","GR",1000,0.1,"Butterflyfish",25,250,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2504","Green Rock Wall",2025-04-01,8.1,"7:30",100,12,3,"None",2,"Tessa","GR",1000,0.1,"Parrotfish",23,230,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2504","Green Rock Wall",2025-04-01,8.1,"7:30",100,12,3,"None",2,"Tessa","GR",1000,0.1,"Rabbitfish",33,330,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2506","Green Rock Wall",2025-06-19,10.1,"7:42",100,10,3,"None",0,"Elena","GR",1000,0.1,"Butterflyfish",12,120,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2506","Green Rock Wall",2025-06-19,10.1,"7:42",100,10,3,"None",0,"Elena","GR",1000,0.1,"Parrotfish",28,280,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2506","Green Rock Wall",2025-06-19,10.1,"7:42",100,10,3,"None",0,"Elena","GR",1000,0.1,"Rabbitfish",22,220,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2506","Green Rock Wall",2025-06-19,10.1,"7:42",100,10,3,"None",0,"Mirea","GR",1000,0.1,"Butterflyfish",13,130,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2506","Green Rock Wall",2025-06-19,10.1,"7:42",100,10,3,"None",0,"Mirea","GR",1000,0.1,"Parrotfish",33,330,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2506","Green Rock Wall",2025-06-19,10.1,"7:42",100,10,3,"None",0,"Mirea","GR",1000,0.1,"Rabbitfish",24,240,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2508","Green Rock Wall",2025-08-06,8,"7:31",100,20,3,"None",3,"Iola","GR",1000,0.1,"Butterflyfish",39,390,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2508","Green Rock Wall",2025-08-06,8,"7:31",100,20,3,"None",3,"Iola","GR",1000,0.1,"Parrotfish",41,410,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2508","Green Rock Wall",2025-08-06,8,"7:31",100,20,3,"None",3,"Iola","GR",1000,0.1,"Rabbitfish",29,290,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2508","Green Rock Wall",2025-08-06,8,"7:31",100,20,3,"None",3,"Sophie","GR",1000,0.1,"Butterflyfish",33,330,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2508","Green Rock Wall",2025-08-06,8,"7:31",100,20,3,"None",3,"Sophie","GR",1000,0.1,"Parrotfish",32,320,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2508","Green Rock Wall",2025-08-06,8,"7:31",100,20,3,"None",3,"Sophie","GR",1000,0.1,"Rabbitfish",21,210,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2510","Green Rock Wall",2025-10-01,10.8,"7:30",100,14,2,"None",4,"Mathys","GR",1000,0.1,"Butterflyfish",19,190,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2510","Green Rock Wall",2025-10-01,10.8,"7:30",100,14,2,"None",4,"Mathys","GR",1000,0.1,"Parrotfish",37,370,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2510","Green Rock Wall",2025-10-01,10.8,"7:30",100,14,2,"None",4,"Mathys","GR",1000,0.1,"Rabbitfish",25,250,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2510","Green Rock Wall",2025-10-01,10.8,"7:30",100,14,2,"None",4,"Tilda","GR",1000,0.1,"Butterflyfish",18,180,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2510","Green Rock Wall",2025-10-01,10.8,"7:30",100,14,2,"None",4,"Tilda","GR",1000,0.1,"Parrotfish",53,530,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2510","Green Rock Wall",2025-10-01,10.8,"7:30",100,14,2,"None",4,"Tilda","GR",1000,0.1,"Rabbitfish",28,280,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"GR2602","Green Rock Wall",2026-02-03,11,"8:45",100,15,2,"None",3,"Felix","GR",1000,0.1,"Butterflyfish",22,220,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"GR2602","Green Rock Wall",2026-02-03,11,"8:45",100,15,2,"None",3,"Felix","GR",1000,0.1,"Parrotfish",32,320,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"GR2602","Green Rock Wall",2026-02-03,11,"8:45",100,15,2,"None",3,"Felix","GR",1000,0.1,"Rabbitfish",28,280,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
