site_code,site,transect,substrate,n_points,total_points,prop,pct
AL,Aow Leuk,AL1,AB,204,1250,0.1632,16.32
AL,Aow Leuk,AL1,HC,337,1250,0.2696,26.96
AL,Aow Leuk,AL1,MAC,23,1250,0.0184,1.8399999999999999
AL,Aow Leuk,AL1,OB,28,1250,0.0224,2.2399999999999998
AL,Aow Leuk,AL1,TUR,647,1250,0.5176,51.76
AL,Aow Leuk,AL1,UKN,11,1250,0.0088,0.88
AL,Aow Leuk,AL2,AB,248,1249,0.19855884707766214,19.855884707766215
AL,Aow Leuk,AL2,HC,275,1249,0.2201761409127302,22.017614091273018
AL,Aow Leuk,AL2,MAC,6,1249,0.004803843074459567,0.4803843074459567
AL,Aow Leuk,AL2,OB,120,1249,0.09607686148919135,9.607686148919136
AL,Aow Leuk,AL2,TUR,598,1249,0.4787830264211369,47.87830264211369
AL,Aow Leuk,AL2,UKN,2,1249,0.0016012810248198558,0.16012810248198558
AL,Aow Leuk,AL3,AB,471,1247,0.3777064955894146,37.77064955894146
AL,Aow Leuk,AL3,HC,388,1247,0.3111467522052927,31.11467522052927
AL,Aow Leuk,AL3,MAC,5,1247,0.00400962309542903,0.40096230954290296
AL,Aow Leuk,AL3,OB,7,1247,0.0056134723336006415,0.5613472333600642
AL,Aow Leuk,AL3,TUR,376,1247,0.301523656776263,30.152365677626303
AL,Aow Leuk,AL4,AB,697,1245,0.5598393574297189,55.983935742971894
AL,Aow Leuk,AL4,HC,277,1245,0.22248995983935743,22.248995983935743
AL,Aow Leuk,AL4,MAC,1,1245,8.032128514056225e-4,0.08032128514056225
AL,Aow Leuk,AL4,SP,1,1245,8.032128514056225e-4,0.08032128514056225
AL,Aow Leuk,AL4,TUR,269,1245,0.21606425702811244,21.606425702811244
AL,Aow Leuk,AL5,AB,98,500,0.196,19.6
AL,Aow Leuk,AL5,HC,290,500,0.58,57.99999999999999
AL,Aow Leuk,AL5,MAC,1,500,0.002,0.2
AL,Aow Leuk,AL5,SP,1,500,0.002,0.2
AL,Aow Leuk,AL5,TUR,110,500,0.22,22
AL,Aow Leuk,AL6,AB,255,1250,0.204,20.4
AL,Aow Leuk,AL6,HC,322,1250,0.2576,25.759999999999998
AL,Aow Leuk,AL6,MAC,62,1250,0.0496,4.96
AL,Aow Leuk,AL6,OB,85,1250,0.068,6.800000000000001
AL,Aow Leuk,AL6,TUR,526,1250,0.4208,42.08
AL,Aow Leuk,AL7,AB,293,1250,0.2344,23.44
AL,Aow Leuk,AL7,HC,385,1250,0.308,30.8
AL,Aow Leuk,AL7,MAC,8,1250,0.0064,0.64
AL,Aow Leuk,AL7,OB,63,1250,0.0504,5.04
AL,Aow Leuk,AL7,TUR,501,1250,0.4008,40.08
AL,Aow Leuk,AL8,AB,164,675,0.24296296296296296,24.296296296296298
AL,Aow Leuk,AL8,HC,382,675,0.5659259259259259,56.592592592592595
AL,Aow Leuk,AL8,OB,14,675,0.02074074074074074,2.074074074074074
AL,Aow Leuk,AL8,TUR,115,675,0.17037037037037037,17.037037037037038
AL,Aow Leuk,AL9,AB,170,1248,0.1362179487179487,13.62179487179487
AL,Aow Leuk,AL9,HC,348,1248,0.27884615384615385,27.884615384615387
AL,Aow Leuk,AL9,MAC,1,1248,8.012820512820513e-4,0.08012820512820512
AL,Aow Leuk,AL9,OB,210,1248,0.16826923076923078,16.826923076923077
AL,Aow Leuk,AL9,TUR,410,1248,0.328525641025641,32.8525641025641
AL,Aow Leuk,AL9,UKN,109,1248,0.08733974358974358,8.733974358974358
GR,Green Rock,GR1,AB,64,1250,0.0512,5.12
GR,Green Rock,GR1,HC,494,1250,0.3952,39.519999999999996
GR,Green Rock,GR1,MAC,18,1250,0.0144,1.44
GR,Green Rock,GR1,OB,79,1250,0.0632,6.32
GR,Green Rock,GR1,TUR,593,1250,0.4744,47.44
GR,Green Rock,GR1,UKN,2,1250,0.0016,0.16
GR,Green Rock,GR2,AB,172,1250,0.1376,13.76
GR,Green Rock,GR2,HC,340,1250,0.272,27.200000000000003
GR,Green Rock,GR2,MAC,9,1250,0.0072,0.72
GR,Green Rock,GR2,OB,44,1250,0.0352,3.52
GR,Green Rock,GR2,TUR,684,1250,0.5472,54.72
GR,Green Rock,GR2,UKN,1,1250,8e-4,0.08
GR,Green Rock,GR3,AB,184,1250,0.1472,14.719999999999999
GR,Green Rock,GR3,HC,566,1250,0.4528,45.28
GR,Green Rock,GR3,MAC,28,1250,0.0224,2.2399999999999998
GR,Green Rock,GR3,OB,31,1250,0.0248,2.48
GR,Green Rock,GR3,TUR,430,1250,0.344,34.4
GR,Green Rock,GR3,UKN,11,1250,0.0088,0.88
GR,Green Rock,GR4,AB,93,1250,0.0744,7.4399999999999995
GR,Green Rock,GR4,HC,726,1250,0.5808,58.08
GR,Green Rock,GR4,MAC,32,1250,0.0256,2.56
GR,Green Rock,GR4,OB,32,1250,0.0256,2.56
GR,Green Rock,GR4,TUR,357,1250,0.2856,28.560000000000002
GR,Green Rock,GR4,UKN,10,1250,0.008,0.8
GR,Green Rock,GR5,AB,416,1173,0.3546462063086104,35.464620630861035
GR,Green Rock,GR5,HC,342,1173,0.2915601023017903,29.15601023017903
GR,Green Rock,GR5,MAC,47,1173,0.040068201193520885,4.0068201193520885
GR,Green Rock,GR5,OB,88,1173,0.07502131287297528,7.502131287297528
GR,Green Rock,GR5,SC,2,1173,0.0017050298380221654,0.17050298380221654
GR,Green Rock,GR5,SP,1,1173,8.525149190110827e-4,0.08525149190110827
GR,Green Rock,GR5,TUR,277,1173,0.2361466325660699,23.614663256606992
GR,Green Rock,GR6,AB,720,1216,0.5921052631578947,59.210526315789465
GR,Green Rock,GR6,HC,248,1216,0.20394736842105263,20.394736842105264
GR,Green Rock,GR6,MAC,26,1216,0.02138157894736842,2.138157894736842
GR,Green Rock,GR6,OB,111,1216,0.0912828947368421,9.12828947368421
GR,Green Rock,GR6,TUR,111,1216,0.0912828947368421,9.12828947368421
GR,Green Rock,GR7,AB,641,1213,0.528441879637263,52.8441879637263
GR,Green Rock,GR7,HC,320,1213,0.26380873866446825,26.380873866446823
GR,Green Rock,GR7,MAC,41,1213,0.033800494641384994,3.3800494641384993
GR,Green Rock,GR7,OB,117,1213,0.09645507007419621,9.64550700741962
GR,Green Rock,GR7,SP,2,1213,0.0016488046166529267,0.16488046166529266
GR,Green Rock,GR7,TUR,92,1213,0.07584501236603462,7.5845012366034625
GR,Green Rock,GR8,AB,185,1225,0.1510204081632653,15.10204081632653
GR,Green Rock,GR8,HC,670,1225,0.5469387755102041,54.69387755102041
GR,Green Rock,GR8,MAC,108,1225,0.08816326530612245,8.816326530612246
GR,Green Rock,GR8,OB,63,1225,0.05142857142857143,5.142857142857142
GR,Green Rock,GR8,SP,6,1225,0.004897959183673469,0.4897959183673469
GR,Green Rock,GR8,TUR,187,1225,0.1526530612244898,15.26530612244898
GR,Green Rock,GR8,UKN,6,1225,0.004897959183673469,0.4897959183673469
RR,Red Rock,RR1,AB,30,1250,0.024,2.4
RR,Red Rock,RR1,HC,605,1250,0.484,48.4
RR,Red Rock,RR1,MAC,86,1250,0.0688,6.88
RR,Red Rock,RR1,OB,36,1250,0.0288,2.88
RR,Red Rock,RR1,TUR,486,1250,0.3888,38.879999999999995
RR,Red Rock,RR1,UKN,7,1250,0.0056,0.5599999999999999
RR,Red Rock,RR2,AB,36,1250,0.0288,2.88
RR,Red Rock,RR2,HC,698,1250,0.5584,55.84
RR,Red Rock,RR2,MAC,40,1250,0.032,3.2
RR,Red Rock,RR2,OB,22,1250,0.0176,1.76
RR,Red Rock,RR2,TUR,451,1250,0.3608,36.08
RR,Red Rock,RR2,UKN,3,1250,0.0024,0.24
RR,Red Rock,RR3,AB,68,1250,0.0544,5.4399999999999995
RR,Red Rock,RR3,HC,586,1250,0.4688,46.88
RR,Red Rock,RR3,MAC,37,1250,0.0296,2.96
RR,Red Rock,RR3,OB,42,1250,0.0336,3.36
RR,Red Rock,RR3,TUR,511,1250,0.4088,40.88
RR,Red Rock,RR3,UKN,6,1250,0.0048,0.48
RR,Red Rock,RR4,AB,21,1249,0.016813450760608487,1.6813450760608486
RR,Red Rock,RR4,HC,655,1249,0.5244195356285029,52.44195356285029
RR,Red Rock,RR4,MAC,44,1249,0.03522818254603683,3.522818254603683
RR,Red Rock,RR4,OB,56,1249,0.04483586869495596,4.483586869495596
RR,Red Rock,RR4,TUR,467,1249,0.37389911929543634,37.389911929543636
RR,Red Rock,RR4,UKN,6,1249,0.004803843074459567,0.4803843074459567
RR,Red Rock,RR5,AB,384,857,0.44807467911318555,44.807467911318554
RR,Red Rock,RR5,HC,339,857,0.39556592765460913,39.55659276546091
RR,Red Rock,RR5,MAC,16,857,0.01866977829638273,1.8669778296382729
RR,Red Rock,RR5,OB,65,857,0.07584597432905485,7.584597432905485
RR,Red Rock,RR5,SP,2,857,0.002333722287047841,0.2333722287047841
RR,Red Rock,RR5,TUR,51,857,0.059509918319719954,5.950991831971995
RR,Red Rock,RR6,AB,72,1225,0.05877551020408163,5.877551020408163
RR,Red Rock,RR6,HC,614,1225,0.5012244897959184,50.12244897959184
RR,Red Rock,RR6,MAC,19,1225,0.015510204081632653,1.5510204081632653
RR,Red Rock,RR6,OB,77,1225,0.06285714285714286,6.2857142857142865
RR,Red Rock,RR6,SC,5,1225,0.004081632653061225,0.40816326530612246
RR,Red Rock,RR6,SP,5,1225,0.004081632653061225,0.40816326530612246
RR,Red Rock,RR6,TUR,433,1225,0.35346938775510206,35.3469387755102
SI,Shark Island,SI1,AB,20,1249,0.016012810248198558,1.6012810248198557
SI,Shark Island,SI1,HC,938,1249,0.7510008006405124,75.10008006405124
SI,Shark Island,SI1,MAC,13,1249,0.010408326661329063,1.0408326661329064
SI,Shark Island,SI1,OB,18,1249,0.014411529223378704,1.4411529223378703
SI,Shark Island,SI1,TUR,260,1249,0.20816653322658127,20.816653322658127
SI,Shark Island,SI2,AB,40,1250,0.032,3.2
SI,Shark Island,SI2,HC,554,1250,0.4432,44.32
SI,Shark Island,SI2,MAC,22,1250,0.0176,1.76
SI,Shark Island,SI2,OB,113,1250,0.0904,9.04
SI,Shark Island,SI2,TUR,487,1250,0.3896,38.96
SI,Shark Island,SI2,UKN,34,1250,0.0272,2.7199999999999998
SI,Shark Island,SI3,AB,252,1250,0.2016,20.16
SI,Shark Island,SI3,HC,870,1250,0.696,69.6
SI,Shark Island,SI3,MAC,11,1250,0.0088,0.88
SI,Shark Island,SI3,OB,31,1250,0.0248,2.48
SI,Shark Island,SI3,TUR,86,1250,0.0688,6.88
SI,Shark Island,SI4,AB,327,1241,0.2634971796937953,26.349717969379533
SI,Shark Island,SI4,HC,718,1241,0.5785656728444802,57.856567284448026
SI,Shark Island,SI4,MAC,5,1241,0.0040290088638195,0.40290088638195
SI,Shark Island,SI4,OB,21,1241,0.016921837228041903,1.6921837228041903
SI,Shark Island,SI4,SC,9,1241,0.007252215954875101,0.7252215954875101
SI,Shark Island,SI4,TUR,161,1241,0.1297340854149879,12.97340854149879
SI,Shark Island,SI5,AB,29,1241,0.023368251410153102,2.3368251410153102
SI,Shark Island,SI5,HC,896,1241,0.7219983883964545,72.19983883964545
SI,Shark Island,SI5,MAC,17,1241,0.0136986301369863,1.36986301369863
SI,Shark Island,SI5,OB,48,1241,0.038678485092667206,3.8678485092667207
SI,Shark Island,SI5,TUR,250,1241,0.20145044319097502,20.1450443190975
SI,Shark Island,SI5,UKN,1,1241,8.058017727639e-4,0.08058017727639001
SI,Shark Island,SI6,AB,6,1250,0.0048,0.48
SI,Shark Island,SI6,HC,1016,1250,0.8128,81.28
SI,Shark Island,SI6,MAC,24,1250,0.0192,1.92
SI,Shark Island,SI6,OB,14,1250,0.0112,1.1199999999999999
SI,Shark Island,SI6,TUR,188,1250,0.1504,15.040000000000001
SI,Shark Island,SI6,UKN,2,1250,0.0016,0.16
SI,Shark Island,SI7,AB,365,1250,0.292,29.2
SI,Shark Island,SI7,HC,562,1250,0.4496,44.96
SI,Shark Island,SI7,MAC,48,1250,0.0384,3.84
SI,Shark Island,SI7,OB,42,1250,0.0336,3.36
SI,Shark Island,SI7,TUR,233,1250,0.1864,18.64
TB,Tanote Bay,TB1,AB,137,1250,0.1096,10.96
TB,Tanote Bay,TB1,HC,833,1250,0.6664,66.64
TB,Tanote Bay,TB1,MAC,2,1250,0.0016,0.16
TB,Tanote Bay,TB1,OB,8,1250,0.0064,0.64
TB,Tanote Bay,TB1,TUR,267,1250,0.2136,21.36
TB,Tanote Bay,TB1,UKN,3,1250,0.0024,0.24
TB,Tanote Bay,TB2,AB,139,1249,0.11128903122497999,11.128903122497999
TB,Tanote Bay,TB2,HC,688,1249,0.5508406725380304,55.084067253803035
TB,Tanote Bay,TB2,MAC,17,1249,0.013610888710968775,1.3610888710968776
TB,Tanote Bay,TB2,OB,16,1249,0.012810248198558846,1.2810248198558847
TB,Tanote Bay,TB2,TUR,379,1249,0.3034427542033627,30.34427542033627
TB,Tanote Bay,TB2,UKN,10,1249,0.008006405124099279,0.8006405124099278
TB,Tanote Bay,TB3,AB,278,1250,0.2224,22.24
TB,Tanote Bay,TB3,HC,690,1250,0.552,55.2
TB,Tanote Bay,TB3,MAC,33,1250,0.0264,2.64
TB,Tanote Bay,TB3,OB,26,1250,0.0208,2.08
TB,Tanote Bay,TB3,TUR,218,1250,0.1744,17.44
TB,Tanote Bay,TB3,UKN,5,1250,0.004,0.4
TB,Tanote Bay,TB4,AB,326,1249,0.2610088070456365,26.10088070456365
TB,Tanote Bay,TB4,HC,575,1249,0.46036829463570855,46.036829463570854
TB,Tanote Bay,TB4,MAC,31,1249,0.024819855884707767,2.481985588470777
TB,Tanote Bay,TB4,OB,43,1249,0.0344275420336269,3.4427542033626897
TB,Tanote Bay,TB4,TUR,270,1249,0.21617293835068055,21.617293835068054
TB,Tanote Bay,TB4,UKN,4,1249,0.0032025620496397116,0.32025620496397117
TB,Tanote Bay,TB5,AB,358,1245,0.28755020080321286,28.755020080321287
TB,Tanote Bay,TB5,HC,643,1245,0.5164658634538153,51.64658634538153
TB,Tanote Bay,TB5,MAC,47,1245,0.03775100401606426,3.775100401606426
TB,Tanote Bay,TB5,OB,49,1245,0.0393574297188755,3.93574297188755
TB,Tanote Bay,TB5,TUR,148,1245,0.11887550200803212,11.887550200803213
TB,Tanote Bay,TB6,AB,508,1228,0.41368078175895767,41.36807817589577
TB,Tanote Bay,TB6,HC,436,1228,0.3550488599348534,35.50488599348534
TB,Tanote Bay,TB6,MAC,31,1228,0.025244299674267102,2.5244299674267103
TB,Tanote Bay,TB6,OB,82,1228,0.06677524429967427,6.677524429967427
TB,Tanote Bay,TB6,SC,3,1228,0.0024429967426710096,0.24429967426710095
TB,Tanote Bay,TB6,TUR,166,1228,0.13517915309446255,13.517915309446254
TB,Tanote Bay,TB6,UKN,2,1228,0.0016286644951140066,0.16286644951140067
TB,Tanote Bay,TB7,AB,410,1246,0.3290529695024077,32.90529695024077
TB,Tanote Bay,TB7,HC,602,1246,0.48314606741573035,48.31460674157304
TB,Tanote Bay,TB7,MAC,2,1246,0.0016051364365971107,0.16051364365971107
TB,Tanote Bay,TB7,OB,127,1246,0.10192616372391654,10.192616372391655
TB,Tanote Bay,TB7,SC,2,1246,0.0016051364365971107,0.16051364365971107
TB,Tanote Bay,TB7,SP,1,1246,8.025682182985554e-4,0.08025682182985554
TB,Tanote Bay,TB7,TUR,87,1246,0.06982343499197431,6.982343499197431
TB,Tanote Bay,TB7,UKN,15,1246,0.012038523274478331,1.2038523274478332
TW,Twins,TW1,AB,156,1249,0.12489991993594876,12.489991993594876
TW,Twins,TW1,HC,640,1249,0.5124099279423538,51.24099279423538
TW,Twins,TW1,MAC,15,1249,0.01200960768614892,1.200960768614892
TW,Twins,TW1,OB,72,1249,0.057646116893514815,5.764611689351481
TW,Twins,TW1,TUR,342,1249,0.27381905524419536,27.381905524419537
TW,Twins,TW1,UKN,24,1249,0.01921537229783827,1.921537229783827
TW,Twins,TW2,AB,260,1247,0.20850040096230954,20.850040096230956
TW,Twins,TW2,HC,398,1247,0.3191659983961508,31.916599839615078
TW,Twins,TW2,MAC,25,1247,0.020048115477145148,2.0048115477145148
TW,Twins,TW2,OB,46,1247,0.03688853247794707,3.6888532477947074
TW,Twins,TW2,TUR,506,1247,0.4057738572574178,40.577385725741784
TW,Twins,TW2,UKN,12,1247,0.009623095429029671,0.9623095429029671
TW,Twins,TW3,AB,175,1250,0.14,14.000000000000002
TW,Twins,TW3,HC,457,1250,0.3656,36.559999999999995
TW,Twins,TW3,MAC,12,1250,0.0096,0.96
TW,Twins,TW3,OB,46,1250,0.0368,3.6799999999999997
TW,Twins,TW3,TUR,555,1250,0.444,44.4
TW,Twins,TW3,UKN,5,1250,0.004,0.4
TW,Twins,TW4,AB,173,1250,0.1384,13.84
TW,Twins,TW4,HC,331,1250,0.2648,26.479999999999997
TW,Twins,TW4,MAC,16,1250,0.0128,1.28
TW,Twins,TW4,OB,30,1250,0.024,2.4
TW,Twins,TW4,TUR,700,1250,0.56,56.00000000000001
TW,Twins,TW5,AB,417,1248,0.33413461538461536,33.41346153846153
TW,Twins,TW5,HC,529,1248,0.4238782051282051,42.38782051282051
TW,Twins,TW5,MAC,8,1248,0.00641025641025641,0.641025641025641
TW,Twins,TW5,OB,65,1248,0.052083333333333336,5.208333333333334
TW,Twins,TW5,SC,6,1248,0.004807692307692308,0.4807692307692308
TW,Twins,TW5,SP,11,1248,0.008814102564102564,0.8814102564102564
TW,Twins,TW5,TUR,211,1248,0.16907051282051283,16.907051282051285
TW,Twins,TW5,UKN,1,1248,8.012820512820513e-4,0.08012820512820512
